main_sound,level,hanja,meaning,radical,strokes,total_strokes
가,3급Ⅱ,佳,"[[['아름다울'], ['가']]]",人,6,8
가,3급Ⅱ,架,"[[['시렁'], ['가']]]",木,5,9
각,3급Ⅱ,脚,"[[['다리'], ['각']]]",肉,7,11
각,3급Ⅱ,閣,"[[['집'], ['각']]]",門,6,14
간,3급Ⅱ,刊,"[[['새길'], ['간']]]",刀,3,5
간,3급Ⅱ,幹,"[[['줄기'], ['간']]]",干,10,13
간,3급Ⅱ,懇,"[[['간절할'], ['간']]]",心,13,17
간,3급Ⅱ,肝,"[[['간'], ['간']]]",肉,3,7
감,3급Ⅱ,鑑,"[[['거울'], ['감']]]",金,14,22
강,3급Ⅱ,剛,"[[['굳셀'], ['강']]]",刀,8,10
강,3급Ⅱ,綱,"[[['벼리'], ['강']]]",糸,8,14
강,3급Ⅱ,鋼,"[[['강철'], ['강']]]",金,8,16
개,3급Ⅱ,槪,"[[['대개'], ['개']]]",木,11,15
개,3급Ⅱ,介,"[[['낄'], ['개']]]",人,2,4
개,3급Ⅱ,蓋,"[[['덮을'], ['개']]]",艸,10,14
거,3급Ⅱ,距,"[[['상거(相距)할'], ['거']]]",足,5,12
건,3급Ⅱ,乾,"[[['하늘', '마를'], ['건']]]",乙,10,11
검,3급Ⅱ,劍,"[[['칼'], ['검']]]",刀,13,15
격,3급Ⅱ,隔,"[[['사이뜰'], ['격']]]",阜,10,13
결,3급Ⅱ,訣,"[[['이별할'], ['결']]]",言,4,11
겸,3급Ⅱ,兼,"[[['겸할'], ['겸']]]",八,8,10
겸,3급Ⅱ,謙,"[[['겸손할'], ['겸']]]",言,10,17
경,3급Ⅱ,頃,"[[['이랑', '잠깐'], ['경']]]",頁,2,11
경,3급Ⅱ,徑,"[[['지름길', '길'], ['경']]]",彳,7,10
경,3급Ⅱ,硬,"[[['굳을'], ['경']]]",石,7,12
경,3급Ⅱ,耕,"[[['밭갈[犁田]'], ['경']]]",耒,4,10
계,3급Ⅱ,契,"[[['맺을'], ['계']]]",大,6,9
계,3급Ⅱ,桂,"[[['계수나무'], ['계']]]",木,6,10
계,3급Ⅱ,啓,"[[['열'], ['계']]]",口,8,11
계,3급Ⅱ,溪,"[[['시내'], ['계']]]",水,10,13
계,3급Ⅱ,械,"[[['기계'], ['계']]]",木,7,11
고,3급Ⅱ,姑,"[[['시어미'], ['고']]]",女,5,8
고,3급Ⅱ,稿,"[[['원고', '볏짚'], ['고']]]",禾,10,15
고,3급Ⅱ,鼓,"[[['북'], ['고']]]",鼓,0,13
곡,3급Ⅱ,哭,"[[['울'], ['곡']]]",口,7,10
곡,3급Ⅱ,谷,"[[['골'], ['곡']]]",谷,0,7
공,3급Ⅱ,貢,"[[['바칠'], ['공']]]",貝,3,10
공,3급Ⅱ,供,"[[['이바지할'], ['공']]]",人,6,8
공,3급Ⅱ,恐,"[[['두려울'], ['공']]]",心,6,10
공,3급Ⅱ,恭,"[[['공손할'], ['공']]]",心,6,10
과,3급Ⅱ,誇,"[[['자랑할'], ['과']]]",言,6,13
과,3급Ⅱ,寡,"[[['적을'], ['과']]]",宀,11,14
관,3급Ⅱ,寬,"[[['너그러울'], ['관']]]",宀,12,15
관,3급Ⅱ,貫,"[[['꿸'], ['관']]]",貝,4,11
관,3급Ⅱ,館,"[[['집'], ['관']]]",食,8,17
관,3급Ⅱ,慣,"[[['익숙할'], ['관']]]",心,11,14
관,3급Ⅱ,冠,"[[['갓'], ['관']]]",冖,7,9
광,3급Ⅱ,狂,"[[['미칠'], ['광']]]",犬,4,7
괴,3급Ⅱ,壞,"[[['무너질'], ['괴']]]",土,16,19
괴,3급Ⅱ,怪,"[[['괴이할'], ['괴']]]",心,5,8
교,3급Ⅱ,巧,"[[['공교할'], ['교']]]",工,2,5
교,3급Ⅱ,較,"[[['견줄', '비교할'], ['교']]]",車,6,13
구,3급Ⅱ,久,"[[['오랠'], ['구']]]",丿,2,3
구,3급Ⅱ,拘,"[[['잡을'], ['구']]]",手,5,8
구,3급Ⅱ,丘,"[[['언덕'], ['구']]]",一,4,5
국,3급Ⅱ,菊,"[[['국화'], ['국']]]",艸,8,12
궁,3급Ⅱ,弓,"[[['활'], ['궁']]]",弓,0,3
권,3급Ⅱ,拳,"[[['주먹'], ['권']]]",手,6,10
귀,3급Ⅱ,鬼,"[[['귀신'], ['귀']]]",鬼,0,10
균,3급Ⅱ,菌,"[[['버섯'], ['균']]]",艸,8,12
극,3급Ⅱ,克,"[[['이길'], ['극']]]",儿,5,7
금,3급Ⅱ,禽,"[[['새'], ['금']]]",禸,8,13
금,3급Ⅱ,錦,"[[['비단'], ['금']]]",金,8,16
금,3급Ⅱ,琴,"[[['거문고'], ['금']]]",玉,8,12
급,3급Ⅱ,及,"[[['미칠'], ['급']]]",又,2,4
기,3급Ⅱ,騎,"[[['말탈'], ['기']]]",馬,8,18
기,3급Ⅱ,祈,"[[['빌'], ['기']]]",示,4,9
기,3급Ⅱ,畿,"[[['경기(京畿)'], ['기']]]",田,10,15
기,3급Ⅱ,其,"[[['그'], ['기']]]",八,6,8
기,3급Ⅱ,企,"[[['꾀할'], ['기']]]",人,4,6
긴,3급Ⅱ,緊,"[[['긴할'], ['긴']]]",糸,8,14
낙,3급Ⅱ,諾,"[[['허락할'], ['낙']]]",言,9,16
낭,3급Ⅱ,娘,"[[['계집'], ['낭']]]",女,7,10
내,3급Ⅱ,耐,"[[['견딜'], ['내']]]",而,3,9
녕,3급Ⅱ,寧,"[[['편안'], ['녕']]]",宀,11,14
노,3급Ⅱ,奴,"[[['종'], ['노']]]",女,2,5
뇌,3급Ⅱ,腦,"[[['골', '뇌수'], ['뇌']]]",肉,9,13
니,3급Ⅱ,泥,"[[['진흙'], ['니']]]",水,5,8
다,3급Ⅱ,茶,"[[['차'], ['다']], [['차'], ['차']]]",艸,6,10
단,3급Ⅱ,旦,"[[['아침'], ['단']]]",日,1,5
단,3급Ⅱ,但,"[[['다만'], ['단']]]",人,5,7
단,3급Ⅱ,丹,"[[['붉을'], ['단']]]",丶,3,4
담,3급Ⅱ,淡,"[[['맑을'], ['담']]]",水,8,11
답,3급Ⅱ,踏,"[[['밟을'], ['답']]]",足,8,15
당,3급Ⅱ,糖,"[[['엿'], ['당']]]",米,10,16
당,3급Ⅱ,唐,"[[['당나라', '당황할'], ['당']]]",口,7,10
대,3급Ⅱ,臺,"[[['대'], ['대']]]",至,8,14
대,3급Ⅱ,貸,"[[['빌릴', '뀔'], ['대']]]",貝,5,12
도,3급Ⅱ,渡,"[[['건널'], ['도']]]",水,9,12
도,3급Ⅱ,桃,"[[['복숭아'], ['도']]]",木,6,10
도,3급Ⅱ,倒,"[[['넘어질'], ['도']]]",人,8,10
도,3급Ⅱ,陶,"[[['질그릇'], ['도']]]",阜,8,11
도,3급Ⅱ,途,"[[['길[行中]'], ['도']]]",辵,7,11
도,3급Ⅱ,刀,"[[['칼'], ['도']]]",刀,0,2
돌,3급Ⅱ,突,"[[['갑자기'], ['돌']]]",穴,4,9
동,3급Ⅱ,凍,"[[['얼'], ['동']]]",冫,8,10
락,3급Ⅱ,絡,"[[['이을', '얽을'], ['락']]]",糸,6,12
란,3급Ⅱ,欄,"[[['난간'], ['란']]]",木,17,21
란,3급Ⅱ,蘭,"[[['난초'], ['란']]]",艸,17,21
랑,3급Ⅱ,浪,"[[['물결'], ['랑']]]",水,7,10
랑,3급Ⅱ,廊,"[[['사랑채', '행랑'], ['랑']]]",广,10,13
랑,3급Ⅱ,郞,"[[['사내'], ['랑']]]",邑,7,10
량,3급Ⅱ,涼,"[[['서늘할'], ['량']]]",水,8,11
량,3급Ⅱ,梁,"[[['들보', '돌다리'], ['량']]]",木,7,11
려,3급Ⅱ,勵,"[[['힘쓸'], ['려']]]",力,15,17
력,3급Ⅱ,曆,"[[['책력'], ['력']]]",日,12,16
련,3급Ⅱ,鍊,"[[['쇠불릴', '단련할'], ['련']]]",金,9,17
련,3급Ⅱ,蓮,"[[['연꽃'], ['련']]]",艸,11,15
련,3급Ⅱ,聯,"[[['연이을'], ['련']]]",耳,11,17
련,3급Ⅱ,戀,"[[['그리워할', '그릴'], ['련']]]",心,19,23
렬,3급Ⅱ,裂,"[[['찢어질'], ['렬']]]",衣,6,12
령,3급Ⅱ,靈,"[[['신령'], ['령']]]",雨,16,24
령,3급Ⅱ,嶺,"[[['고개'], ['령']]]",山,14,17
로,3급Ⅱ,露,"[[['이슬'], ['로']]]",雨,13,21
로,3급Ⅱ,爐,"[[['화로'], ['로']]]",火,16,20
록,3급Ⅱ,祿,"[[['녹'], ['록']]]",示,8,13
롱,3급Ⅱ,弄,"[[['희롱할'], ['롱']]]",廾,4,7
뢰,3급Ⅱ,賴,"[[['의뢰할'], ['뢰']]]",貝,9,16
뢰,3급Ⅱ,雷,"[[['우레'], ['뢰']]]",雨,5,13
루,3급Ⅱ,漏,"[[['샐'], ['루']]]",水,11,14
루,3급Ⅱ,樓,"[[['다락'], ['루']]]",木,11,15
루,3급Ⅱ,累,"[[['여러', '자주'], ['루']]]",糸,5,11
륜,3급Ⅱ,倫,"[[['인륜'], ['륜']]]",人,8,10
률,3급Ⅱ,率,"[[['비율'], ['률']], [['거느릴'], ['솔']]]",玄,6,11
률,3급Ⅱ,栗,"[[['밤'], ['률']]]",木,6,10
륭,3급Ⅱ,隆,"[[['높을'], ['륭']]]",阜,9,12
릉,3급Ⅱ,陵,"[[['언덕'], ['릉']]]",阜,8,11
리,3급Ⅱ,吏,"[[['벼슬아치', '관리'], ['리']]]",口,3,6
리,3급Ⅱ,履,"[[['밟을'], ['리']]]",尸,12,15
리,3급Ⅱ,裏,"[[['속'], ['리']]]",衣,7,13
림,3급Ⅱ,臨,"[[['임할'], ['림']]]",臣,11,17
마,3급Ⅱ,磨,"[[['갈'], ['마']]]",石,11,16
마,3급Ⅱ,麻,"[[['삼'], ['마']]]",麻,0,11
막,3급Ⅱ,漠,"[[['넓을'], ['막']]]",水,11,14
막,3급Ⅱ,莫,"[[['없을'], ['막']]]",艸,7,11
막,3급Ⅱ,幕,"[[['장막'], ['막']]]",巾,11,14
만,3급Ⅱ,晩,"[[['늦을'], ['만']]]",日,7,11
망,3급Ⅱ,妄,"[[['망령될'], ['망']]]",女,3,6
매,3급Ⅱ,媒,"[[['중매'], ['매']]]",女,9,12
매,3급Ⅱ,梅,"[[['매화'], ['매']]]",木,7,11
맥,3급Ⅱ,麥,"[[['보리'], ['맥']]]",麥,0,11
맹,3급Ⅱ,孟,"[[['맏'], ['맹']]]",子,5,8
맹,3급Ⅱ,猛,"[[['사나울'], ['맹']]]",犬,8,11
맹,3급Ⅱ,盲,"[[['소경', '눈멀'], ['맹']]]",目,3,8
맹,3급Ⅱ,盟,"[[['맹세'], ['맹']]]",皿,8,13
면,3급Ⅱ,眠,"[[['잘'], ['면']]]",目,5,10
면,3급Ⅱ,綿,"[[['솜'], ['면']]]",糸,8,14
면,3급Ⅱ,免,"[[['면할'], ['면']]]",儿,5,7
멸,3급Ⅱ,滅,"[[['꺼질', '멸할'], ['멸']]]",水,10,13
명,3급Ⅱ,銘,"[[['새길'], ['명']]]",金,6,14
모,3급Ⅱ,謀,"[[['꾀'], ['모']]]",言,9,16
모,3급Ⅱ,貌,"[[['모양'], ['모']]]",豸,7,14
모,3급Ⅱ,慕,"[[['그릴'], ['모']]]",心,11,15
목,3급Ⅱ,睦,"[[['화목할'], ['목']]]",目,8,13
몰,3급Ⅱ,沒,"[[['빠질'], ['몰']]]",水,4,7
몽,3급Ⅱ,蒙,"[[['어두울'], ['몽']]]",艸,10,14
몽,3급Ⅱ,夢,"[[['꿈'], ['몽']]]",夕,11,14
무,3급Ⅱ,貿,"[[['무역할'], ['무']]]",貝,5,12
